metric,value,step
loss/category_loss,2.8399100303649902,10.0
loss/category_loss,2.495353937149048,20.0
loss/category_loss,2.3512558937072754,30.0
loss/category_loss,2.778606653213501,40.0
loss/category_loss,3.266335964202881,50.0
loss/category_loss,2.499466896057129,60.0
loss/category_loss,2.296978235244751,70.0
loss/category_loss,2.4783480167388916,80.0
loss/category_loss,2.6753485202789307,90.0
loss/category_loss,2.9755008220672607,100.0
loss/category_loss,2.2308876514434814,110.0
loss/category_loss,2.3091070652008057,120.0
loss/category_loss,2.2561872005462646,130.0
loss/category_loss,2.124988079071045,140.0
loss/category_loss,2.5083820819854736,150.0
loss/category_loss,2.4505693912506104,160.0
loss/category_loss,2.675812005996704,170.0
loss/category_loss,2.368459939956665,180.0
loss/category_loss,2.4172797203063965,190.0
loss/category_loss,2.0064029693603516,200.0
loss/category_loss,2.530938148498535,210.0
loss/category_loss,2.554321527481079,220.0
loss/category_loss,2.5757389068603516,230.0
loss/category_loss,2.5317342281341553,240.0
loss/category_loss,2.339447259902954,250.0
loss/category_loss,2.114344835281372,260.0
loss/category_loss,2.4817471504211426,270.0
loss/category_loss,2.5476605892181396,280.0
loss/category_loss,1.9478659629821777,290.0
loss/category_loss,2.49491548538208,300.0
loss/category_loss,2.3579416275024414,310.0
loss/category_loss,1.8929184675216675,323.0
loss/category_loss,1.9510592222213745,333.0
loss/category_loss,2.460096836090088,343.0
loss/category_loss,1.7136112451553345,353.0
loss/category_loss,2.1139707565307617,363.0
loss/category_loss,2.2954399585723877,373.0
loss/category_loss,2.2103865146636963,383.0
loss/category_loss,2.2623844146728516,393.0
loss/category_loss,2.380981922149658,403.0
loss/category_loss,2.5449414253234863,413.0
loss/category_loss,2.2723419666290283,423.0
loss/category_loss,1.8697121143341064,433.0
loss/category_loss,2.713977813720703,443.0
loss/category_loss,2.3315467834472656,453.0
loss/category_loss,2.157383918762207,463.0
loss/category_loss,1.8878403902053833,473.0
loss/category_loss,2.1071038246154785,483.0
loss/category_loss,1.9437427520751953,493.0
loss/category_loss,2.1011252403259277,503.0
loss/category_loss,1.969233512878418,513.0
loss/category_loss,2.117532730102539,523.0
loss/category_loss,1.9281842708587646,533.0
loss/category_loss,2.127899169921875,543.0
loss/category_loss,1.9403111934661865,553.0
loss/category_loss,2.1860432624816895,563.0
loss/category_loss,2.920602321624756,573.0
loss/category_loss,1.7938096523284912,583.0
loss/category_loss,1.8492292165756226,593.0
loss/category_loss,2.3671810626983643,603.0
loss/category_loss,1.9094972610473633,613.0
loss/category_loss,2.0934484004974365,623.0
loss/category_loss,1.9785211086273193,636.0
loss/category_loss,2.267859697341919,646.0
loss/category_loss,1.4766287803649902,656.0
loss/category_loss,2.1704506874084473,666.0
loss/category_loss,1.8335016965866089,676.0
loss/category_loss,1.7241863012313843,686.0
loss/category_loss,1.6674904823303223,696.0
loss/category_loss,2.0856289863586426,706.0
loss/category_loss,2.426166534423828,716.0
loss/category_loss,2.16571044921875,726.0
loss/category_loss,2.488441228866577,736.0
loss/category_loss,1.998046875,746.0
loss/category_loss,1.656469702720642,756.0
loss/category_loss,1.6595940589904785,766.0
loss/category_loss,1.7480247020721436,776.0
loss/category_loss,1.7306169271469116,786.0
loss/category_loss,1.572429895401001,796.0
loss/category_loss,1.3755159378051758,806.0
loss/category_loss,1.7340741157531738,816.0
loss/category_loss,2.2979342937469482,826.0
loss/category_loss,1.8114104270935059,836.0
loss/category_loss,1.783697485923767,846.0
loss/category_loss,1.7107425928115845,856.0
loss/category_loss,1.785941243171692,866.0
loss/category_loss,2.297180652618408,876.0
loss/category_loss,1.7858816385269165,886.0
loss/category_loss,1.725773572921753,896.0
loss/category_loss,1.8516113758087158,906.0
loss/category_loss,2.265597343444824,916.0
loss/category_loss,1.4986846446990967,926.0
loss/category_loss,1.9611778259277344,936.0
loss/category_loss,1.8860633373260498,949.0
loss/category_loss,2.095991611480713,959.0
loss/category_loss,1.5843017101287842,969.0
loss/category_loss,1.320153832435608,979.0
loss/category_loss,2.0050413608551025,989.0
loss/category_loss,2.026198625564575,999.0
loss/category_loss,1.726166009902954,1009.0
loss/category_loss,1.6961244344711304,1019.0
loss/category_loss,1.2321242094039917,1029.0
loss/category_loss,1.736579179763794,1039.0
loss/category_loss,1.472709059715271,1049.0
loss/category_loss,2.091327428817749,1059.0
loss/category_loss,1.565247893333435,1069.0
loss/category_loss,1.7579485177993774,1079.0
loss/category_loss,1.7283419370651245,1089.0
loss/category_loss,1.7508935928344727,1099.0
loss/category_loss,1.8596844673156738,1109.0
loss/category_loss,1.6780977249145508,1119.0
loss/category_loss,1.847659707069397,1129.0
loss/category_loss,1.4371981620788574,1139.0
loss/category_loss,1.6675081253051758,1149.0
loss/category_loss,1.7626713514328003,1159.0
loss/category_loss,1.7345854043960571,1169.0
loss/category_loss,1.5416098833084106,1179.0
loss/category_loss,1.661875605583191,1189.0
loss/category_loss,2.022134304046631,1199.0
loss/category_loss,1.2947736978530884,1209.0
loss/category_loss,1.4311749935150146,1219.0
loss/category_loss,2.241828203201294,1229.0
loss/category_loss,1.1660465002059937,1239.0
loss/category_loss,1.6737747192382812,1249.0
loss_weighted/category_loss,0.02839910052716732,10.0
loss_weighted/category_loss,0.024953538551926613,20.0
loss_weighted/category_loss,0.02351255901157856,30.0
loss_weighted/category_loss,0.027786066755652428,40.0
loss_weighted/category_loss,0.032663360238075256,50.0
loss_weighted/category_loss,0.02499466948211193,60.0
loss_weighted/category_loss,0.02296978235244751,70.0
loss_weighted/category_loss,0.024783480912446976,80.0
loss_weighted/category_loss,0.026753485202789307,90.0
loss_weighted/category_loss,0.029755007475614548,100.0
loss_weighted/category_loss,0.022308876737952232,110.0
loss_weighted/category_loss,0.023091070353984833,120.0
loss_weighted/category_loss,0.022561872377991676,130.0
loss_weighted/category_loss,0.021249881014227867,140.0
loss_weighted/category_loss,0.025083821266889572,150.0
loss_weighted/category_loss,0.024505693465471268,160.0
loss_weighted/category_loss,0.026758119463920593,170.0
loss_weighted/category_loss,0.02368459850549698,180.0
loss_weighted/category_loss,0.024172797799110413,190.0
loss_weighted/category_loss,0.020064029842615128,200.0
loss_weighted/category_loss,0.025309382006525993,210.0
loss_weighted/category_loss,0.02554321475327015,220.0
loss_weighted/category_loss,0.02575738914310932,230.0
loss_weighted/category_loss,0.025317342951893806,240.0
loss_weighted/category_loss,0.023394472897052765,250.0
loss_weighted/category_loss,0.02114344760775566,260.0
loss_weighted/category_loss,0.02481747232377529,270.0
loss_weighted/category_loss,0.02547660656273365,280.0
loss_weighted/category_loss,0.019478660076856613,290.0
loss_weighted/category_loss,0.024949155747890472,300.0
loss_weighted/category_loss,0.023579416796565056,310.0
loss_weighted/category_loss,0.01892918534576893,323.0
loss_weighted/category_loss,0.01951059140264988,333.0
loss_weighted/category_loss,0.02460096776485443,343.0
loss_weighted/category_loss,0.017136111855506897,353.0
loss_weighted/category_loss,0.021139707416296005,363.0
loss_weighted/category_loss,0.02295439876616001,373.0
loss_weighted/category_loss,0.022103864699602127,383.0
loss_weighted/category_loss,0.02262384444475174,393.0
loss_weighted/category_loss,0.02380981855094433,403.0
loss_weighted/category_loss,0.025449413806200027,413.0
loss_weighted/category_loss,0.022723419591784477,423.0
loss_weighted/category_loss,0.018697120249271393,433.0
loss_weighted/category_loss,0.027139777317643166,443.0
loss_weighted/category_loss,0.023315466940402985,453.0
loss_weighted/category_loss,0.021573839709162712,463.0
loss_weighted/category_loss,0.018878404051065445,473.0
loss_weighted/category_loss,0.021071039140224457,483.0
loss_weighted/category_loss,0.019437426701188087,493.0
loss_weighted/category_loss,0.02101125195622444,503.0
loss_weighted/category_loss,0.01969233527779579,513.0
loss_weighted/category_loss,0.02117532677948475,523.0
loss_weighted/category_loss,0.019281841814517975,533.0
loss_weighted/category_loss,0.021278992295265198,543.0
loss_weighted/category_loss,0.019403111189603806,553.0
loss_weighted/category_loss,0.021860431879758835,563.0
loss_weighted/category_loss,0.02920602262020111,573.0
loss_weighted/category_loss,0.017938096076250076,583.0
loss_weighted/category_loss,0.01849229261279106,593.0
loss_weighted/category_loss,0.023671811446547508,603.0
loss_weighted/category_loss,0.01909497193992138,613.0
loss_weighted/category_loss,0.020934484899044037,623.0
loss_weighted/category_loss,0.019785210490226746,636.0
loss_weighted/category_loss,0.022678596898913383,646.0
loss_weighted/category_loss,0.014766287989914417,656.0
loss_weighted/category_loss,0.021704506129026413,666.0
loss_weighted/category_loss,0.018335016444325447,676.0
loss_weighted/category_loss,0.017241863533854485,686.0
loss_weighted/category_loss,0.01667490415275097,696.0
loss_weighted/category_loss,0.020856289193034172,706.0
loss_weighted/category_loss,0.02426166459918022,716.0
loss_weighted/category_loss,0.021657103672623634,726.0
loss_weighted/category_loss,0.024884412065148354,736.0
loss_weighted/category_loss,0.01998046785593033,746.0
loss_weighted/category_loss,0.01656469702720642,756.0
loss_weighted/category_loss,0.01659594103693962,766.0
loss_weighted/category_loss,0.01748024672269821,776.0
loss_weighted/category_loss,0.017306169494986534,786.0
loss_weighted/category_loss,0.01572429947555065,796.0
loss_weighted/category_loss,0.013755159452557564,806.0
loss_weighted/category_loss,0.01734074205160141,816.0
