metric,value,step
loss/category_loss,3.557633399963379,10.0
loss/category_loss,2.363677740097046,20.0
loss/category_loss,2.905505418777466,30.0
loss/category_loss,2.9727118015289307,40.0
loss/category_loss,2.754817485809326,50.0
loss/category_loss,2.853790521621704,60.0
loss/category_loss,3.267601490020752,70.0
loss/category_loss,2.5995876789093018,80.0
loss/category_loss,2.8400650024414062,90.0
loss/category_loss,2.4030725955963135,100.0
loss/category_loss,3.0053136348724365,110.0
loss/category_loss,2.645752429962158,120.0
loss/category_loss,3.125264883041382,130.0
loss/category_loss,2.63012433052063,140.0
loss/category_loss,2.305025339126587,150.0
loss/category_loss,2.75368595123291,160.0
loss/category_loss,2.663489818572998,170.0
loss/category_loss,2.7830872535705566,180.0
loss/category_loss,3.2955589294433594,190.0
loss/category_loss,3.0320045948028564,200.0
loss/category_loss,2.9248814582824707,210.0
loss/category_loss,2.217183828353882,220.0
loss/category_loss,2.7522013187408447,230.0
loss/category_loss,3.1114797592163086,240.0
loss/category_loss,2.5314178466796875,250.0
loss/category_loss,2.969989776611328,260.0
loss/category_loss,2.868156671524048,270.0
loss/category_loss,2.037888765335083,280.0
loss/category_loss,2.897637128829956,290.0
loss/category_loss,2.722306251525879,300.0
loss/category_loss,2.6538798809051514,310.0
loss/category_loss,2.6024045944213867,320.0
loss/category_loss,3.0176639556884766,330.0
loss/category_loss,2.800575017929077,340.0
loss/category_loss,2.874314785003662,350.0
loss/category_loss,2.302011251449585,360.0
loss/category_loss,2.7639734745025635,370.0
loss/category_loss,2.9408485889434814,380.0
loss/category_loss,2.48960542678833,390.0
loss/category_loss,2.655024290084839,400.0
loss/category_loss,3.2499287128448486,410.0
loss/category_loss,3.059455394744873,420.0
loss/category_loss,3.0232696533203125,430.0
loss/category_loss,2.7034711837768555,440.0
loss/category_loss,3.1123175621032715,450.0
loss/category_loss,3.6384122371673584,460.0
loss/category_loss,3.1593472957611084,470.0
loss/category_loss,2.7896811962127686,480.0
loss/category_loss,2.5238943099975586,490.0
loss/category_loss,2.7287895679473877,500.0
loss/category_loss,2.8675291538238525,510.0
loss/category_loss,2.9596893787384033,520.0
loss/category_loss,2.3308262825012207,530.0
loss/category_loss,2.607477903366089,540.0
loss/category_loss,2.6718947887420654,550.0
loss/category_loss,2.5102086067199707,560.0
loss/category_loss,2.380606174468994,570.0
loss/category_loss,2.9902901649475098,580.0
loss/category_loss,2.4937117099761963,590.0
loss/category_loss,2.8779070377349854,600.0
loss/category_loss,3.122455358505249,610.0
loss/category_loss,2.729779005050659,620.0
loss/category_loss,2.517453908920288,635.0
loss/category_loss,2.5604894161224365,645.0
loss/category_loss,2.8043463230133057,655.0
loss/category_loss,3.295214891433716,665.0
loss/category_loss,2.68491530418396,675.0
loss/category_loss,2.9359707832336426,685.0
loss/category_loss,2.6334238052368164,695.0
loss/category_loss,2.210122585296631,705.0
loss/category_loss,3.1741385459899902,715.0
loss/category_loss,2.996842384338379,725.0
loss/category_loss,2.7570371627807617,735.0
loss/category_loss,2.8730947971343994,745.0
loss/category_loss,2.7329225540161133,755.0
loss/category_loss,2.4701600074768066,765.0
loss/category_loss,2.8963184356689453,775.0
loss/category_loss,2.8047876358032227,785.0
loss/category_loss,2.923527956008911,795.0
loss/category_loss,3.3995490074157715,805.0
loss/category_loss,2.525153160095215,815.0
loss/category_loss,2.4805009365081787,825.0
loss/category_loss,2.779680013656616,835.0
loss/category_loss,2.8192532062530518,845.0
loss/category_loss,3.069098711013794,855.0
loss/category_loss,2.5205318927764893,865.0
loss/category_loss,2.603949546813965,875.0
loss/category_loss,3.356081962585449,885.0
loss/category_loss,3.1344094276428223,895.0
loss/category_loss,2.657949924468994,905.0
