metric,value,step
loss/category_loss,2.723114013671875,10.0
loss/category_loss,2.497035026550293,20.0
loss/category_loss,2.2622039318084717,30.0
loss/category_loss,2.4896907806396484,40.0
loss/category_loss,1.9231352806091309,50.0
loss/category_loss,1.7877089977264404,60.0
loss/category_loss,2.1570639610290527,70.0
loss/category_loss,1.8357837200164795,80.0
loss/category_loss,2.2641830444335938,90.0
loss/category_loss,2.0760385990142822,100.0
loss/category_loss,1.4376568794250488,110.0
loss/category_loss,1.5580220222473145,120.0
loss/category_loss,2.291515588760376,130.0
loss/category_loss,1.9389387369155884,140.0
loss/category_loss,1.9835777282714844,150.0
loss/category_loss,2.0386338233947754,160.0
loss/category_loss,1.8800458908081055,170.0
loss/category_loss,1.8112077713012695,180.0
loss/category_loss,1.902464747428894,190.0
loss/category_loss,1.9470840692520142,200.0
loss/category_loss,1.780258297920227,210.0
loss/category_loss,1.5431643724441528,220.0
loss/category_loss,1.8144745826721191,230.0
loss/category_loss,1.7819737195968628,240.0
loss/category_loss,2.2952768802642822,250.0
loss/category_loss,1.7975528240203857,260.0
loss/category_loss,1.686316728591919,270.0
loss/category_loss,1.6962456703186035,280.0
loss/category_loss,1.7027233839035034,290.0
loss/category_loss,1.7062735557556152,300.0
loss/category_loss,1.4872910976409912,310.0
loss/category_loss,1.6626784801483154,320.0
loss/category_loss,1.7031880617141724,330.0
loss/category_loss,2.172335624694824,340.0
loss/category_loss,1.5307998657226562,350.0
loss/category_loss,1.66737699508667,360.0
loss/category_loss,1.3156640529632568,370.0
loss/category_loss,1.684348702430725,380.0
loss/category_loss,1.706687331199646,390.0
loss/category_loss,1.8050057888031006,400.0
loss/category_loss,1.6051342487335205,410.0
loss/category_loss,1.867305040359497,420.0
loss/category_loss,1.3630033731460571,430.0
loss/category_loss,1.6317124366760254,440.0
loss/category_loss,1.8569839000701904,450.0
loss/category_loss,1.664046287536621,460.0
loss/category_loss,1.610251784324646,470.0
loss/category_loss,1.6653568744659424,480.0
loss/category_loss,1.9218062162399292,490.0
loss/category_loss,1.6376030445098877,500.0
loss/category_loss,1.4877257347106934,510.0
loss/category_loss,1.8890331983566284,520.0
loss/category_loss,1.4562798738479614,530.0
loss/category_loss,1.6781810522079468,540.0
loss/category_loss,1.5523930788040161,550.0
loss/category_loss,1.4547712802886963,560.0
loss/category_loss,1.482763648033142,570.0
loss/category_loss,1.9211043119430542,580.0
loss/category_loss,1.422879934310913,590.0
loss/category_loss,1.6494390964508057,600.0
loss/category_loss,1.3787051439285278,610.0
loss/category_loss,1.6030405759811401,620.0
loss/category_loss,1.894649624824524,630.0
loss/category_loss,1.824894905090332,640.0
loss/category_loss,1.6980105638504028,650.0
loss/category_loss,1.6436021327972412,660.0
loss/category_loss,1.621585726737976,670.0
loss/category_loss,1.4939709901809692,680.0
loss/category_loss,1.5618467330932617,690.0
loss/category_loss,1.1653717756271362,700.0
loss/category_loss,1.3101681470870972,710.0
loss/category_loss,1.627802848815918,720.0
loss/category_loss,1.58217191696167,730.0
loss/category_loss,1.6025277376174927,740.0
loss/category_loss,1.3526737689971924,750.0
loss/category_loss,1.6721601486206055,760.0
loss/category_loss,1.5338363647460938,770.0
loss/category_loss,1.3849568367004395,780.0
loss/category_loss,1.9671517610549927,790.0
loss/category_loss,1.7146406173706055,800.0
loss/category_loss,1.4618453979492188,810.0
loss/category_loss,1.6381633281707764,820.0
loss/category_loss,1.6473289728164673,830.0
loss/category_loss,1.5976014137268066,840.0
loss/category_loss,1.5826629400253296,850.0
loss/category_loss,1.3626941442489624,860.0
loss/category_loss,1.738070011138916,870.0
loss/category_loss,1.3315908908843994,880.0
loss/category_loss,1.4527862071990967,890.0
loss/category_loss,1.2951675653457642,900.0
loss/category_loss,1.4393682479858398,910.0
loss/category_loss,2.0672342777252197,920.0
loss/category_loss,1.5224722623825073,930.0
loss/category_loss,1.6921671628952026,940.0
loss/category_loss,1.8891221284866333,950.0
loss/category_loss,1.4820300340652466,960.0
loss/category_loss,1.6407355070114136,970.0
loss/category_loss,1.5404305458068848,980.0
loss/category_loss,1.4702634811401367,990.0
loss/category_loss,1.1839474439620972,1000.0
loss/category_loss,1.3999896049499512,1010.0
loss/category_loss,1.3654423952102661,1020.0
loss/category_loss,1.2844552993774414,1030.0
loss/category_loss,1.323001742362976,1040.0
loss/category_loss,1.1931431293487549,1050.0
loss/category_loss,1.8209784030914307,1060.0
loss/category_loss,1.4914053678512573,1070.0
loss/category_loss,1.2386776208877563,1080.0
loss/category_loss,1.1239521503448486,1090.0
loss/category_loss,1.4616765975952148,1100.0
loss/category_loss,1.2087262868881226,1110.0
loss/category_loss,1.4755302667617798,1120.0
loss/category_loss,1.130997896194458,1130.0
loss/category_loss,1.447906494140625,1140.0
loss/category_loss,1.4906343221664429,1150.0
loss/category_loss,1.6813573837280273,1160.0
loss/category_loss,1.3159481287002563,1170.0
loss/category_loss,1.2528282403945923,1180.0
loss/category_loss,1.422171950340271,1190.0
loss/category_loss,1.213911771774292,1200.0
loss/category_loss,1.4050068855285645,1210.0
loss/category_loss,0.9351611137390137,1220.0
loss/category_loss,1.3541831970214844,1230.0
loss/category_loss,1.3393158912658691,1240.0
loss/category_loss,1.2729568481445312,1250.0
loss/category_loss,1.4722529649734497,1260.0
loss/category_loss,1.4058167934417725,1270.0
loss/category_loss,1.3593136072158813,1280.0
loss/category_loss,1.6801317930221558,1290.0
loss/category_loss,1.4162439107894897,1300.0
loss/category_loss,1.1146732568740845,1310.0
loss/category_loss,1.179509162902832,1320.0
loss/category_loss,1.6568655967712402,1330.0
loss/category_loss,1.053148627281189,1340.0
loss/category_loss,1.0660513639450073,1350.0
loss/category_loss,1.2142192125320435,1360.0
loss/category_loss,1.143601655960083,1370.0
loss/category_loss,1.647135615348816,1380.0
loss/category_loss,1.4419035911560059,1390.0
loss/category_loss,1.2127796411514282,1400.0
loss/category_loss,0.9979581236839294,1410.0
loss/category_loss,1.7459824085235596,1420.0
loss/category_loss,1.3283698558807373,1430.0
loss/category_loss,1.3957520723342896,1440.0
loss/category_loss,1.1944721937179565,1450.0
